# COMMENT	SELECT * FROM beast_example_phat/beast_example_phat Isochrones WHERE ~((M_ini < 12.) & (stage == 0))
# ISOCHRONE	1.0000e+06 yr
# NAME	beast_example_phat/beast_example_phat Isochrones
# Z	stage
# BINARY_FRAC	0.3
# BINARY_KIND	1
# BINARY_MRINF	0.7
# BINARY_MRSUP	1
# CMD_VERSION	2.7
# DUST_SOURCE	nodust
# DUST_SOURCEC	AMCSIC15
# DUST_SOURCEM	dpmod60alox40
# ETA_REIMERS	0.2
# EXTINCTION_AV	0
# ICM_LIM	4
# IMF_FILE	tab_imf/imf_kroupa.dat
# ISOC_AGE	10000000.0
# ISOC_AGE0	12700000000.0
# ISOC_DLAGE	1.0
# ISOC_DZ	0.0001
# ISOC_KIND	parsec_CAF09_v1.2S
# ISOC_LAGE0	6.0
# ISOC_LAGE1	10.13
# ISOC_VAL	1
# ISOC_Z0	0.0001
# ISOC_Z1	0.03
# ISOC_ZETA	0.02
# ISOC_ZETA0	0.03
# KIND_CSPECMAG	aringer09
# KIND_DUST	0
# KIND_INTERP	1
# KIND_MAG	2
# KIND_POSTAGB	-1
# KIND_PULSECYCLE	0
# KIND_TPAGB	0
# LF_DELTAMAG	0.2
# LF_MAGINF	20
# LF_MAGSUP	-20
# MAG_LIM	26
# MAG_RES	0.1
# OUTPUT_EVSTAGE	1
# OUTPUT_GZIP	0
# OUTPUT_KIND	0
# PHOTSYS_FILE	tab_mag_odfnew/tab_mag_bessell.dat
# SUBMIT_FORM	Submit
##               Column	      Unit	Comment	Null	  Fmt
##                    Z	          	Metallicity		25.17e
##                M_ini	      Msun	Initial Mass		25.17e
##                M_act	      Msun	Current Mass, M(t)		25.17e
##                 mbol	          			25.17e
##                stage	          			  22i
##                 logA	        yr	Age		25.17e
##                 logL	      Lsun	Luminosity		25.17e
##                 logT	         K	Effective temperature		25.17e
##                 logg	   cm/s**2	Surface gravity		25.17e
Z,M_ini,M_act,mbol,stage,logA,logL,logT,logg
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.23182000000000009e+01, -9.34200000000000053e+00,                     0,  6.00000000000000000e+00,  5.64459999999999962e+00,  4.71689999999999987e+00,  3.96180000000000021e+00
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.22216999999999985e+01, -9.34500000000000064e+00,                     0,  6.00000000000000000e+00,  5.64609999999999967e+00,  4.72959999999999958e+00,  4.00889999999999969e+00
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.21761000000000017e+01, -9.35299999999999976e+00,                     0,  6.00000000000000000e+00,  5.64900000000000002e+00,  4.74129999999999985e+00,  4.05189999999999984e+00
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.21508000000000003e+01, -9.36299999999999955e+00,                     0,  6.00000000000000000e+00,  5.65320000000000000e+00,  4.75309999999999988e+00,  4.09469999999999956e+00
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.21378999999999984e+01, -9.37400000000000055e+00,                     0,  6.00000000000000000e+00,  5.65770000000000017e+00,  4.76339999999999986e+00,  4.13089999999999957e+00
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.21281999999999996e+01, -9.38899999999999935e+00,                     0,  6.00000000000000000e+00,  5.66359999999999975e+00,  4.77500000000000036e+00,  4.17149999999999999e+00
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.21219000000000001e+01, -9.40399999999999991e+00,                     0,  6.00000000000000000e+00,  5.66959999999999997e+00,  4.78570000000000029e+00,  4.20800000000000018e+00
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.21167000000000016e+01, -9.41900000000000048e+00,                     0,  6.00000000000000000e+00,  5.67539999999999978e+00,  4.79579999999999984e+00,  4.24230000000000018e+00
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.21118999999999986e+01, -9.43200000000000038e+00,                     0,  6.00000000000000000e+00,  5.68079999999999963e+00,  4.80529999999999990e+00,  4.27510000000000012e+00
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.21065000000000005e+01, -9.44599999999999973e+00,                     0,  6.00000000000000000e+00,  5.68630000000000013e+00,  4.81569999999999965e+00,  4.31099999999999994e+00
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.21007999999999996e+01, -9.45899999999999963e+00,                     0,  6.00000000000000000e+00,  5.69139999999999979e+00,  4.82629999999999981e+00,  4.34799999999999986e+00
  2.99999999999999989e-02,  2.00003890990000002e+02,  2.20938000000000017e+01, -9.47199999999999953e+00,                     0,  6.00000000000000000e+00,  5.69690000000000030e+00,  4.83870000000000022e+00,  4.39229999999999965e+00
